# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 50
# Ntrees internal   : 350
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
339,1439000,14390,28780,287,4111,41
340,1361000,13610,27220,272,3888,38
341,1345000,13450,26900,269,3842,38
342,1310000,13100,26200,262,3742,37
343,1312000,13120,26240,262,3748,37
344,1280000,12800,25600,256,3657,36
345,1303000,13030,26060,260,3722,37
346,1292000,12920,25840,258,3691,36
347,1318000,13180,26360,263,3765,37
348,1282000,12820,25640,256,3662,36
349,1277000,12770,25540,255,3648,36
350,1276000,12760,25520,255,3645,36
351,1257000,12570,25140,251,3591,35
352,1243000,12430,24860,248,3551,35
353,1357000,13570,27140,271,3877,38
354,1257000,12570,25140,251,3591,35
355,1276000,12760,25520,255,3645,36
356,1879000,18790,37580,375,5368,53
357,2438000,24380,48760,487,6965,69
358,2011000,20110,40220,402,5745,57
359,1760000,17600,35200,352,5028,50
360,1731000,17310,34620,346,4945,49
361,1784000,17840,35680,356,5097,50
362,1715000,17150,34300,343,4900,49
363,1706000,17060,34120,341,4874,48
364,1706000,17060,34120,341,4874,48
365,1572000,15720,31440,314,4491,44
366,1434000,14340,28680,286,4097,40
367,1448000,14480,28960,289,4137,41
368,1326000,13260,26520,265,3788,37
369,1277000,12770,25540,255,3648,36
370,1261000,12610,25220,252,3602,36
371,1539000,15390,30780,307,4397,43
372,1440000,14400,28800,288,4114,41
373,1365000,13650,27300,273,3900,39
374,1354000,13540,27080,270,3868,38
375,1328000,13280,26560,265,3794,37
376,1326000,13260,26520,265,3788,37
377,1294000,12940,25880,258,3697,36
378,1316000,13160,26320,263,3760,37
379,1352000,13520,27040,270,3862,38
380,1322000,13220,26440,264,3777,37
381,1342000,13420,26840,268,3834,38
382,1323000,13230,26460,264,3780,37
383,1270000,12700,25400,254,3628,36
384,1300000,13000,26000,260,3714,37
385,1310000,13100,26200,262,3742,37
386,1282000,12820,25640,256,3662,36
387,1279000,12790,25580,255,3654,36
388,1328000,13280,26560,265,3794,37
389,1328000,13280,26560,265,3794,37
390,1589000,15890,31780,317,4540,45
391,1341000,13410,26820,268,3831,38
392,1335000,13350,26700,267,3814,38
393,1308000,13080,26160,261,3737,37
394,1425000,14250,28500,285,4071,40
395,1334000,13340,26680,266,3811,38
396,1354000,13540,27080,270,3868,38
397,1403000,14030,28060,280,4008,40
398,1298000,12980,25960,259,3708,37
399,1303000,13030,26060,260,3722,37
400,1323000,13230,26460,264,3780,37
401,1297000,12970,25940,259,3705,37
402,1338000,13380,26760,267,3822,38
403,1332000,13320,26640,266,3805,38
404,1339000,13390,26780,267,3825,38
405,1334000,13340,26680,266,3811,38
406,1355000,13550,27100,271,3871,38
407,1347000,13470,26940,269,3848,38
408,1553000,15530,31060,310,4437,44
409,1415000,14150,28300,283,4042,40
410,1322000,13220,26440,264,3777,37
411,1490000,14900,29800,298,4257,42
412,1260000,12600,25200,252,3600,36
413,1253000,12530,25060,250,3580,35
414,1280000,12800,25600,256,3657,36
415,1326000,13260,26520,265,3788,37
416,1316000,13160,26320,263,3760,37
417,1330000,13300,26600,266,3800,38
418,1320000,13200,26400,264,3771,37
419,1320000,13200,26400,264,3771,37
420,1319000,13190,26380,263,3768,37
421,1349000,13490,26980,269,3854,38
422,1285000,12850,25700,257,3671,36
423,1285000,12850,25700,257,3671,36
424,1278000,12780,25560,255,3651,36
425,1241000,12410,24820,248,3545,35
426,1246000,12460,24920,249,3560,35
427,1290000,12900,25800,258,3685,36
428,2544000,25440,50880,508,7268,72
429,2071000,20710,41420,414,5917,59
430,1749000,17490,34980,349,4997,49
431,1749000,17490,34980,349,4997,49
432,1755000,17550,35100,351,5014,50
433,1726000,17260,34520,345,4931,49
434,1716000,17160,34320,343,4902,49
435,1708000,17080,34160,341,4880,48
436,1633000,16330,32660,326,4665,46
437,1441000,14410,28820,288,4117,41
438,1488000,14880,29760,297,4251,42
439,1379000,13790,27580,275,3940,39
440,1316000,13160,26320,263,3760,37
441,1314000,13140,26280,262,3754,37
442,1556000,15560,31120,311,4445,44
443,1365000,13650,27300,273,3900,39
444,1311000,13110,26220,262,3745,37
445,1312000,13120,26240,262,3748,37
446,1319000,13190,26380,263,3768,37
447,1240000,12400,24800,248,3542,35
448,1333000,13330,26660,266,3808,38
449,1311000,13110,26220,262,3745,37
450,1311000,13110,26220,262,3745,37
451,1284000,12840,25680,256,3668,36
452,1300000,13000,26000,260,3714,37
453,1324000,13240,26480,264,3782,37
454,1313000,13130,26260,262,3751,37
455,1266000,12660,25320,253,3617,36
456,1272000,12720,25440,254,3634,36
457,1296000,12960,25920,259,3702,37
458,1263000,12630,25260,252,3608,36
459,1307000,13070,26140,261,3734,37
460,1306000,13060,26120,261,3731,37
461,1533000,15330,30660,306,4380,43
462,1429000,14290,28580,285,4082,40
463,1379000,13790,27580,275,3940,39
464,1363000,13630,27260,272,3894,38
465,1380000,13800,27600,276,3942,39
466,1266000,12660,25320,253,3617,36
467,1263000,12630,25260,252,3608,36
468,1288000,12880,25760,257,3680,36
469,1305000,13050,26100,261,3728,37
470,1269000,12690,25380,253,3625,36
471,1247000,12470,24940,249,3562,35
472,1269000,12690,25380,253,3625,36
473,1256000,12560,25120,251,3588,35
474,1286000,12860,25720,257,3674,36
475,1243000,12430,24860,248,3551,35
476,1347000,13470,26940,269,3848,38
477,1283000,12830,25660,256,3665,36
478,1303000,13030,26060,260,3722,37
479,1276000,12760,25520,255,3645,36
480,1444000,14440,28880,288,4125,41
481,1505000,15050,30100,301,4300,43
482,1349000,13490,26980,269,3854,38
483,1379000,13790,27580,275,3940,39
484,1296000,12960,25920,259,3702,37
485,1279000,12790,25580,255,3654,36
486,1294000,12940,25880,258,3697,36
487,1280000,12800,25600,256,3657,36
488,1381000,13810,27620,276,3945,39
489,1347000,13470,26940,269,3848,38
490,1309000,13090,26180,261,3740,37
491,1295000,12950,25900,259,3700,37
492,1354000,13540,27080,270,3868,38
493,1349000,13490,26980,269,3854,38
494,1303000,13030,26060,260,3722,37
495,1306000,13060,26120,261,3731,37
496,1307000,13070,26140,261,3734,37
497,1293000,12930,25860,258,3694,36
498,1333000,13330,26660,266,3808,38
499,3007000,30070,60140,601,8591,85
500,1765000,17650,35300,353,5042,50
501,1770000,17700,35400,354,5057,50
502,1827000,18270,36540,365,5220,52
503,1893000,18930,37860,378,5408,54
504,1682000,16820,33640,336,4805,48
505,1468000,14680,29360,293,4194,41
506,1462000,14620,29240,292,4177,41
507,1431000,14310,28620,286,4088,40
508,1378000,13780,27560,275,3937,39
509,1461000,14610,29220,292,4174,41
510,1366000,13660,27320,273,3902,39
511,1352000,13520,27040,270,3862,38
512,1729000,17290,34580,345,4940,49
513,1770000,17700,35400,354,5057,50
514,1757000,17570,35140,351,5020,50
515,1882000,18820,37640,376,5377,53
516,1843000,18430,36860,368,5265,52
517,1842000,18420,36840,368,5262,52
518,1829000,18290,36580,365,5225,52
519,1829000,18290,36580,365,5225,52
520,1593000,15930,31860,318,4551,45
521,1389000,13890,27780,277,3968,39
522,1382000,13820,27640,276,3948,39
523,1622000,16220,32440,324,4634,46
524,1439000,14390,28780,287,4111,41
525,1379000,13790,27580,275,3940,39
526,1365000,13650,27300,273,3900,39
527,1359000,13590,27180,271,3882,38
528,1354000,13540,27080,270,3868,38
529,1352000,13520,27040,270,3862,38
530,1353000,13530,27060,270,3865,38
531,1418000,14180,28360,283,4051,40
532,1474000,14740,29480,294,4211,42
533,1402000,14020,28040,280,4005,40
534,1428000,14280,28560,285,4080,40
535,1353000,13530,27060,270,3865,38
536,1348000,13480,26960,269,3851,38
537,1402000,14020,28040,280,4005,40
538,1464000,14640,29280,292,4182,41
539,1478000,14780,29560,295,4222,42
540,1370000,13700,27400,274,3914,39
541,1530000,15300,30600,306,4371,43
542,1713000,17130,34260,342,4894,48
543,1529000,15290,30580,305,4368,43
544,1560000,15600,31200,312,4457,44
545,1342000,13420,26840,268,3834,38
546,1510000,15100,30200,302,4314,43
547,1341000,13410,26820,268,3831,38
548,1772000,17720,35440,354,5062,50
549,1729000,17290,34580,345,4940,49
550,1692000,16920,33840,338,4834,48
551,1443000,14430,28860,288,4122,41
552,1393000,13930,27860,278,3980,39
553,1534000,15340,30680,306,4382,43
554,1616000,16160,32320,323,4617,46
555,1339000,13390,26780,267,3825,38
556,1323000,13230,26460,264,3780,37
557,1360000,13600,27200,272,3885,38
558,1334000,13340,26680,266,3811,38
559,1310000,13100,26200,262,3742,37
560,1326000,13260,26520,265,3788,37
561,1407000,14070,28140,281,4020,40
562,1374000,13740,27480,274,3925,39
563,1471000,14710,29420,294,4202,42
564,1359000,13590,27180,271,3882,38
565,1305000,13050,26100,261,3728,37
566,1364000,13640,27280,272,3897,38
567,1311000,13110,26220,262,3745,37
568,1306000,13060,26120,261,3731,37
569,1843000,18430,36860,368,5265,52
570,1839000,18390,36780,367,5254,52
571,1771000,17710,35420,354,5060,50
572,1779000,17790,35580,355,5082,50
573,1814000,18140,36280,362,5182,51
574,1689000,16890,33780,337,4825,48
575,1388000,13880,27760,277,3965,39
576,1323000,13230,26460,264,3780,37
577,1340000,13400,26800,268,3828,38
578,1352000,13520,27040,270,3862,38
579,1624000,16240,32480,324,4640,46
580,1386000,13860,27720,277,3960,39
581,1355000,13550,27100,271,3871,38
582,1707000,17070,34140,341,4877,48
583,1938000,19380,38760,387,5537,55
584,1866000,18660,37320,373,5331,53
585,1787000,17870,35740,357,5105,51
586,1949000,19490,38980,389,5568,55
587,1756000,17560,35120,351,5017,50
588,1635000,16350,32700,327,4671,46
589,1624000,16240,32480,324,4640,46
590,1564000,15640,31280,312,4468,44
591,1538000,15380,30760,307,4394,43
592,1551000,15510,31020,310,4431,44
593,1399000,13990,27980,279,3997,39
594,1674000,16740,33480,334,4782,47
595,1522000,15220,30440,304,4348,43
596,1858000,18580,37160,371,5308,53
597,1867000,18670,37340,373,5334,53
598,1766000,17660,35320,353,5045,50
599,1906000,19060,38120,381,5445,54
600,1488000,14880,29760,297,4251,42
601,1349000,13490,26980,269,3854,38
602,1563000,15630,31260,312,4465,44
603,1823000,18230,36460,364,5208,52
604,1815000,18150,36300,363,5185,51
605,1794000,17940,35880,358,5125,51
606,1788000,17880,35760,357,5108,51
607,1749000,17490,34980,349,4997,49
608,1459000,14590,29180,291,4168,41
609,1756000,17560,35120,351,5017,50
610,1767000,17670,35340,353,5048,50
611,1660000,16600,33200,332,4742,47
612,1374000,13740,27480,274,3925,39
613,1388000,13880,27760,277,3965,39
614,1380000,13800,27600,276,3942,39
615,1587000,15870,31740,317,4534,45
616,1523000,15230,30460,304,4351,43
617,1631000,16310,32620,326,4660,46
618,1719000,17190,34380,343,4911,49
619,1573000,15730,31460,314,4494,44
620,1450000,14500,29000,290,4142,41
621,1539000,15390,30780,307,4397,43
622,1841000,18410,36820,368,5260,52
623,1845000,18450,36900,369,5271,52
624,1815000,18150,36300,363,5185,51
625,1755000,17550,35100,351,5014,50
626,1728000,17280,34560,345,4937,49
627,1715000,17150,34300,343,4900,49
628,1566000,15660,31320,313,4474,44
629,1719000,17190,34380,343,4911,49
630,1478000,14780,29560,295,4222,42
631,1460000,14600,29200,292,4171,41
632,1456000,14560,29120,291,4160,41
633,1724000,17240,34480,344,4925,49
634,1632000,16320,32640,326,4662,46
635,1525000,15250,30500,305,4357,43
636,1456000,14560,29120,291,4160,41
637,1647000,16470,32940,329,4705,47
638,1805000,18050,36100,361,5157,51
639,1813000,18130,36260,362,5180,51
640,1764000,17640,35280,352,5040,50
641,1885000,18850,37700,377,5385,53
642,1553000,15530,31060,310,4437,44
643,1509000,15090,30180,301,4311,43
644,1824000,18240,36480,364,5211,52
645,1790000,17900,35800,358,5114,51
646,1771000,17710,35420,354,5060,50
647,1614000,16140,32280,322,4611,46
648,1759000,17590,35180,351,5025,50
